ship,stw,wind_speed,wind_direction,power_without_wing,power_with_wing,id
FR35-2-Handymax-v2-Opt,12,0,25,3097.77,3097.77,430248
FR35-2-Handymax-v2-Opt,12,0,30,3097.77,3097.77,430249
FR35-2-Handymax-v2-Opt,12,0,35,3097.77,3097.77,430250
FR35-2-Handymax-v2-Opt,12,0,40,3097.77,3097.77,430251
FR35-2-Handymax-v2-Opt,12,0,45,3097.77,3097.77,430252
FR35-2-Handymax-v2-Opt,12,0,50,3097.77,3097.77,430253
FR35-2-Handymax-v2-Opt,12,0,55,3097.77,3097.77,430254
FR35-2-Handymax-v2-Opt,12,0,60,3097.77,3097.77,430255
FR35-2-Handymax-v2-Opt,12,0,65,3097.77,3097.77,430256
FR35-2-Handymax-v2-Opt,12,0,70,3097.77,3097.77,430257
FR35-2-Handymax-v2-Opt,12,0,75,3097.77,3097.77,430258
FR35-2-Handymax-v2-Opt,12,0,80,3097.77,3097.77,430259
FR35-2-Handymax-v2-Opt,12,0,85,3097.77,3097.77,430260
FR35-2-Handymax-v2-Opt,12,0,90,3097.77,3097.77,430261
FR35-2-Handymax-v2-Opt,12,0,95,3097.77,3097.77,430262
FR35-2-Handymax-v2-Opt,12,0,100,3097.77,3097.77,430263
FR35-2-Handymax-v2-Opt,12,0,105,3097.77,3097.77,430264
FR35-2-Handymax-v2-Opt,12,0,110,3097.77,3097.77,430265
FR35-2-Handymax-v2-Opt,12,0,115,3097.77,3097.77,430266
FR35-2-Handymax-v2-Opt,12,0,120,3097.77,3097.77,430267
FR35-2-Handymax-v2-Opt,12,0,125,3097.77,3097.77,430268
FR35-2-Handymax-v2-Opt,12,0,130,3097.77,3097.77,430269
FR35-2-Handymax-v2-Opt,12,0,135,3097.77,3097.77,430270
FR35-2-Handymax-v2-Opt,12,0,140,3097.77,3097.77,430271
FR35-2-Handymax-v2-Opt,12,0,145,3097.77,3097.77,430272
FR35-2-Handymax-v2-Opt,12,0,150,3097.77,3097.77,430273
FR35-2-Handymax-v2-Opt,12,0,155,3097.77,3097.77,430274
FR35-2-Handymax-v2-Opt,12,0,160,3097.77,3097.77,430275
FR35-2-Handymax-v2-Opt,12,0,165,3097.77,3097.77,430276
FR35-2-Handymax-v2-Opt,12,0,170,3097.77,3097.77,430277
FR35-2-Handymax-v2-Opt,12,0,175,3097.77,3097.77,430278
FR35-2-Handymax-v2-Opt,12,0,180,3097.77,3097.77,430279
FR35-2-Handymax-v2-Opt,12,0.5,0,3106.44,3106.44,430280
FR35-2-Handymax-v2-Opt,12,0.5,5,3106.7,3106.7,430281
FR35-2-Handymax-v2-Opt,12,0.5,10,3106.88,3106.88,430282
FR35-2-Handymax-v2-Opt,12,0.5,15,3106.99,3106.99,430283
FR35-2-Handymax-v2-Opt,12,0.5,20,3107.02,3107.02,430284
FR35-2-Handymax-v2-Opt,12,0.5,25,3106.97,3106.97,430285
FR35-2-Handymax-v2-Opt,12,0.5,30,3106.84,3106.84,430286
FR35-2-Handymax-v2-Opt,12,0.5,35,3106.64,3106.64,430287
FR35-2-Handymax-v2-Opt,12,0.5,40,3106.37,3106.37,430288
